,speed
347,car:1km/H
348,car:0km/H
349,car:0km/H
350,car:0km/H
351,car:0km/H
352,truck:0km/H
353,car:0km/H
354,car:1km/H
355,car:0km/H
356,car:0km/H
357,car:0km/H
358,car:0km/H
359,truck:0km/H
360,car:0km/H
361,car:1km/H
362,car:0km/H
363,car:0km/H
364,car:0km/H
365,car:0km/H
366,truck:0km/H
367,car:0km/H
368,car:1km/H
369,car:0km/H
370,car:0km/H
371,car:0km/H
372,car:0km/H
373,truck:0km/H
374,car:0km/H
375,car:1km/H
376,car:0km/H
377,car:0km/H
378,car:0km/H
379,car:0km/H
380,truck:0km/H
381,car:0km/H
382,car:1km/H
383,car:0km/H
384,car:0km/H
385,car:0km/H
386,car:0km/H
387,truck:0km/H
388,car:0km/H
389,car:1km/H
390,car:0km/H
391,car:0km/H
392,car:0km/H
393,car:0km/H
394,truck:0km/H
395,car:0km/H
396,car:1km/H
397,car:0km/H
398,car:0km/H
399,car:0km/H
400,car:0km/H
401,truck:0km/H
402,car:0km/H
403,car:1km/H
404,car:0km/H
405,car:0km/H
406,car:0km/H
407,car:0km/H
408,truck:0km/H
409,car:0km/H
410,car:1km/H
411,car:0km/H
412,car:0km/H
413,car:0km/H
414,car:0km/H
415,truck:0km/H
416,car:0km/H
417,car:1km/H
418,car:1km/H
419,car:0km/H
420,car:0km/H
421,car:0km/H
422,car:0km/H
423,truck:0km/H
424,car:0km/H
425,car:1km/H
426,car:0km/H
427,car:0km/H
428,car:0km/H
429,car:0km/H
430,car:0km/H
431,truck:0km/H
432,car:0km/H
433,car:1km/H
434,car:0km/H
435,car:0km/H
436,car:0km/H
437,car:0km/H
438,truck:0km/H
439,car:0km/H
440,car:1km/H
441,car:0km/H
442,car:0km/H
443,car:0km/H
444,car:0km/H
445,truck:0km/H
446,car:0km/H
447,car:1km/H
448,car:0km/H
449,car:0km/H
450,car:0km/H
451,car:0km/H
452,truck:0km/H
453,car:0km/H
454,car:1km/H
455,car:0km/H
456,car:0km/H
457,car:0km/H
458,car:0km/H
459,truck:0km/H
460,car:0km/H
461,car:1km/H
462,car:0km/H
463,car:0km/H
464,car:0km/H
465,car:0km/H
466,truck:0km/H
467,car:0km/H
468,car:1km/H
469,car:0km/H
470,car:0km/H
471,car:0km/H
472,car:0km/H
473,car:0km/H
474,truck:0km/H
475,car:0km/H
476,car:1km/H
477,car:0km/H
478,car:0km/H
479,car:0km/H
480,car:0km/H
481,car:0km/H
482,truck:0km/H
483,car:0km/H
484,car:1km/H
485,car:0km/H
486,car:0km/H
487,car:0km/H
488,car:0km/H
489,truck:0km/H
490,car:0km/H
491,car:2km/H
492,car:0km/H
493,car:0km/H
494,car:0km/H
495,car:0km/H
496,truck:0km/H
497,car:0km/H
498,car:2km/H
499,car:0km/H
500,car:0km/H
501,car:0km/H
502,car:0km/H
503,truck:0km/H
504,car:0km/H
505,car:2km/H
506,car:0km/H
507,car:0km/H
508,car:0km/H
509,car:0km/H
510,truck:0km/H
511,car:0km/H
512,car:2km/H
513,car:0km/H
514,car:0km/H
515,car:0km/H
516,car:0km/H
517,truck:0km/H
518,car:0km/H
519,car:2km/H
520,car:0km/H
521,car:0km/H
522,car:0km/H
523,car:0km/H
524,truck:0km/H
525,car:0km/H
526,car:2km/H
527,car:0km/H
528,car:0km/H
529,car:0km/H
530,car:0km/H
531,truck:0km/H
532,car:0km/H
533,car:1km/H
534,car:0km/H
535,car:0km/H
536,car:0km/H
537,car:0km/H
538,truck:0km/H
539,car:0km/H
540,car:2km/H
541,car:0km/H
542,car:0km/H
543,car:0km/H
544,car:0km/H
545,truck:0km/H
546,car:0km/H
547,car:2km/H
548,car:0km/H
549,car:0km/H
550,car:0km/H
551,car:0km/H
552,truck:0km/H
553,car:0km/H
554,car:2km/H
555,car:0km/H
556,car:0km/H
557,car:0km/H
558,car:0km/H
559,truck:0km/H
560,car:0km/H
561,car:2km/H
562,car:0km/H
563,car:0km/H
564,car:0km/H
565,car:0km/H
566,truck:0km/H
567,car:0km/H
568,car:2km/H
569,car:0km/H
570,car:0km/H
571,car:0km/H
572,car:0km/H
573,truck:0km/H
574,car:0km/H
575,car:2km/H
576,car:0km/H
577,car:0km/H
578,car:0km/H
579,car:0km/H
580,truck:0km/H
581,car:0km/H
582,car:2km/H
583,car:0km/H
584,car:0km/H
585,car:0km/H
586,car:0km/H
587,truck:0km/H
588,car:0km/H
589,car:2km/H
590,car:0km/H
591,car:0km/H
592,car:0km/H
593,car:0km/H
594,car:0km/H
595,car:0km/H
596,truck:0km/H
597,car:0km/H
598,car:2km/H
599,car:0km/H
600,car:0km/H
601,car:0km/H
602,car:0km/H
603,car:0km/H
604,truck:0km/H
605,car:0km/H
606,car:2km/H
607,car:0km/H
608,car:0km/H
609,car:0km/H
610,car:0km/H
611,car:0km/H
612,truck:0km/H
613,car:0km/H
614,car:2km/H
615,car:0km/H
616,car:0km/H
617,car:0km/H
618,car:0km/H
619,car:0km/H
620,truck:0km/H
621,car:0km/H
622,car:2km/H
623,car:0km/H
624,car:0km/H
625,car:0km/H
626,car:0km/H
627,car:0km/H
628,car:0km/H
629,truck:0km/H
630,car:0km/H
631,car:2km/H
632,car:0km/H
633,car:0km/H
634,car:0km/H
635,car:0km/H
636,car:0km/H
637,car:0km/H
638,truck:0km/H
639,car:0km/H
640,car:2km/H
641,car:0km/H
642,car:0km/H
643,car:0km/H
644,car:0km/H
645,car:0km/H
646,car:0km/H
647,truck:0km/H
648,car:0km/H
649,car:2km/H
650,car:0km/H
651,car:0km/H
652,car:0km/H
653,car:0km/H
654,car:0km/H
655,car:0km/H
656,truck:0km/H
657,car:0km/H
658,car:2km/H
659,car:0km/H
660,car:0km/H
661,car:0km/H
662,car:0km/H
663,car:0km/H
664,car:0km/H
665,truck:0km/H
666,car:0km/H
667,car:2km/H
668,car:0km/H
669,car:0km/H
670,car:0km/H
671,car:0km/H
672,car:0km/H
673,car:0km/H
674,truck:0km/H
675,car:0km/H
676,car:2km/H
677,car:0km/H
678,car:0km/H
679,car:0km/H
680,car:0km/H
681,car:0km/H
682,car:0km/H
683,truck:0km/H
684,car:0km/H
685,car:2km/H
686,car:0km/H
687,car:0km/H
688,car:0km/H
689,car:0km/H
690,car:0km/H
691,truck:0km/H
692,car:0km/H
693,car:2km/H
694,car:0km/H
695,car:0km/H
696,car:0km/H
697,car:0km/H
698,car:0km/H
699,truck:0km/H
700,car:0km/H
701,car:2km/H
702,car:0km/H
703,car:0km/H
704,car:0km/H
705,car:0km/H
706,car:0km/H
707,truck:0km/H
708,car:0km/H
709,car:2km/H
710,car:0km/H
711,car:0km/H
712,car:0km/H
713,car:0km/H
714,car:0km/H
715,truck:0km/H
716,car:0km/H
717,car:2km/H
718,car:0km/H
719,car:0km/H
720,car:0km/H
721,car:0km/H
722,truck:0km/H
723,car:0km/H
724,car:2km/H
725,car:0km/H
726,car:0km/H
727,car:0km/H
728,car:0km/H
729,truck:0km/H
730,car:0km/H
731,car:2km/H
732,bus:1km/H
733,person:0km/H
734,car:0km/H
735,car:0km/H
736,car:0km/H
737,car:0km/H
738,truck:0km/H
739,car:0km/H
740,car:2km/H
741,bus:1km/H
742,person:0km/H
743,car:0km/H
744,car:0km/H
745,car:0km/H
746,car:0km/H
747,truck:0km/H
748,car:0km/H
749,car:2km/H
750,car:1km/H
751,bus:1km/H
752,person:0km/H
753,car:0km/H
754,car:0km/H
755,car:0km/H
756,car:0km/H
757,truck:0km/H
758,car:0km/H
759,car:2km/H
760,car:0km/H
761,bus:0km/H
762,person:0km/H
763,car:0km/H
764,car:0km/H
765,car:0km/H
766,car:0km/H
767,truck:0km/H
768,car:0km/H
769,car:2km/H
770,car:0km/H
771,bus:0km/H
772,person:0km/H
773,car:0km/H
774,car:0km/H
775,car:0km/H
776,car:0km/H
777,truck:0km/H
778,car:0km/H
779,car:2km/H
780,car:0km/H
781,bus:0km/H
782,person:0km/H
783,car:0km/H
784,car:0km/H
785,car:0km/H
786,car:0km/H
787,truck:0km/H
788,car:0km/H
789,car:2km/H
790,car:0km/H
791,person:0km/H
792,car:0km/H
793,car:0km/H
794,car:0km/H
795,car:0km/H
796,truck:0km/H
797,car:0km/H
798,car:2km/H
799,car:0km/H
800,person:0km/H
801,car:0km/H
802,car:0km/H
803,car:0km/H
804,car:0km/H
805,truck:0km/H
806,car:0km/H
807,car:2km/H
808,car:0km/H
809,person:0km/H
810,car:0km/H
811,car:0km/H
812,car:0km/H
813,car:0km/H
814,truck:0km/H
815,car:0km/H
816,car:2km/H
817,car:0km/H
818,person:0km/H
819,car:0km/H
820,car:0km/H
821,car:0km/H
822,car:0km/H
823,truck:0km/H
824,car:0km/H
825,car:2km/H
826,car:0km/H
827,person:0km/H
828,car:0km/H
829,car:0km/H
830,car:0km/H
831,car:0km/H
832,truck:0km/H
833,car:0km/H
834,car:2km/H
835,car:0km/H
836,bus:0km/H
837,car:0km/H
838,car:0km/H
839,car:0km/H
840,car:0km/H
841,truck:0km/H
842,car:0km/H
843,car:2km/H
844,car:0km/H
845,bus:0km/H
846,car:0km/H
847,car:0km/H
848,car:0km/H
849,car:0km/H
850,truck:0km/H
851,car:0km/H
852,car:2km/H
853,car:0km/H
854,bus:0km/H
855,car:0km/H
856,car:0km/H
857,car:0km/H
858,car:0km/H
859,truck:0km/H
860,car:0km/H
861,car:2km/H
862,car:0km/H
863,car:0km/H
864,car:0km/H
865,car:0km/H
866,car:0km/H
867,truck:0km/H
868,car:0km/H
869,car:3km/H
870,car:0km/H
871,car:0km/H
872,car:0km/H
873,car:0km/H
874,car:0km/H
875,truck:0km/H
876,car:0km/H
877,car:3km/H
878,car:0km/H
879,car:0km/H
880,car:0km/H
881,car:0km/H
882,car:0km/H
883,truck:0km/H
884,car:0km/H
885,car:3km/H
886,car:0km/H
887,car:0km/H
888,car:0km/H
889,car:0km/H
890,car:0km/H
891,truck:0km/H
892,car:0km/H
893,car:3km/H
894,car:0km/H
895,person:1km/H
896,car:0km/H
897,car:0km/H
898,car:0km/H
899,car:0km/H
900,truck:0km/H
901,car:0km/H
902,car:3km/H
903,car:0km/H
904,person:0km/H
905,car:0km/H
906,car:0km/H
907,car:0km/H
908,car:0km/H
909,truck:0km/H
910,car:0km/H
911,car:3km/H
912,car:0km/H
913,person:0km/H
914,car:0km/H
915,car:0km/H
916,car:0km/H
917,car:0km/H
918,truck:0km/H
919,car:0km/H
920,car:3km/H
921,car:0km/H
922,person:0km/H
923,car:0km/H
924,car:0km/H
925,car:0km/H
926,car:0km/H
927,truck:0km/H
928,car:0km/H
929,car:3km/H
930,car:0km/H
931,person:0km/H
932,car:0km/H
933,car:0km/H
934,car:0km/H
935,car:0km/H
936,truck:0km/H
937,car:0km/H
938,car:3km/H
939,car:0km/H
940,person:0km/H
941,car:0km/H
942,car:0km/H
943,car:0km/H
944,car:0km/H
945,truck:0km/H
946,car:0km/H
947,car:3km/H
948,car:0km/H
949,person:0km/H
950,bus:1km/H
951,car:0km/H
952,car:0km/H
953,car:0km/H
954,car:0km/H
955,truck:0km/H
956,car:0km/H
957,car:3km/H
958,car:0km/H
959,person:0km/H
960,bus:0km/H
961,car:0km/H
962,car:0km/H
963,car:0km/H
964,car:0km/H
965,truck:0km/H
966,car:0km/H
967,car:3km/H
968,car:0km/H
969,person:0km/H
970,bus:0km/H
971,car:0km/H
972,car:0km/H
973,car:0km/H
974,car:0km/H
975,truck:0km/H
976,car:0km/H
977,car:3km/H
978,car:0km/H
979,person:0km/H
980,bus:0km/H
981,car:0km/H
982,car:0km/H
983,car:0km/H
984,car:0km/H
985,truck:0km/H
986,car:0km/H
987,car:3km/H
988,car:0km/H
989,person:0km/H
990,car:0km/H
991,car:0km/H
992,car:0km/H
993,car:0km/H
994,truck:0km/H
995,car:0km/H
996,car:3km/H
997,car:0km/H
998,person:0km/H
999,car:0km/H
1000,car:0km/H
1001,car:0km/H
1002,car:0km/H
1003,truck:0km/H
1004,car:0km/H
1005,car:3km/H
1006,car:0km/H
1007,person:0km/H
1008,car:0km/H
1009,car:0km/H
1010,car:0km/H
1011,car:0km/H
1012,truck:0km/H
1013,car:0km/H
1014,car:3km/H
1015,car:0km/H
1016,person:0km/H
1017,car:0km/H
1018,car:0km/H
1019,car:0km/H
1020,car:0km/H
1021,truck:0km/H
1022,car:0km/H
1023,car:3km/H
1024,car:0km/H
1025,person:0km/H
1026,car:0km/H
1027,car:0km/H
1028,car:0km/H
1029,car:0km/H
1030,truck:0km/H
1031,car:0km/H
1032,car:3km/H
1033,car:0km/H
1034,person:0km/H
1035,car:0km/H
1036,car:0km/H
1037,car:0km/H
1038,car:0km/H
1039,truck:0km/H
1040,car:0km/H
1041,car:3km/H
1042,car:0km/H
1043,person:0km/H
1044,car:0km/H
1045,car:0km/H
1046,car:0km/H
1047,car:0km/H
1048,truck:0km/H
1049,car:0km/H
1050,car:2km/H
1051,car:0km/H
1052,person:0km/H
1053,car:0km/H
1054,car:0km/H
1055,car:0km/H
1056,car:0km/H
1057,truck:0km/H
1058,car:0km/H
1059,car:2km/H
1060,car:0km/H
1061,car:0km/H
1062,car:0km/H
1063,car:0km/H
1064,car:0km/H
1065,truck:0km/H
1066,car:0km/H
1067,car:2km/H
1068,car:0km/H
1069,car:0km/H
1070,car:0km/H
1071,car:0km/H
1072,car:0km/H
1073,truck:0km/H
1074,car:0km/H
1075,car:2km/H
1076,car:0km/H
1077,car:0km/H
1078,car:0km/H
1079,car:0km/H
1080,car:0km/H
1081,truck:0km/H
1082,car:0km/H
1083,car:2km/H
1084,car:0km/H
1085,car:0km/H
1086,car:0km/H
1087,car:0km/H
1088,car:0km/H
1089,truck:0km/H
1090,car:0km/H
1091,car:2km/H
1092,car:0km/H
1093,car:0km/H
1094,car:0km/H
1095,car:0km/H
1096,car:0km/H
1097,truck:0km/H
1098,car:0km/H
1099,car:2km/H
1100,car:0km/H
1101,car:0km/H
1102,car:0km/H
1103,car:0km/H
1104,car:0km/H
